Year,Area,ST 2,STrange HTML
2012,Birmingham,"A38 Expressway, Birmingham",
2012,Walsall,"Ablewell St, Walsall",
2012,Walsall,"Ablewell St, Walsall",
2012,Walsall,"Ablewell St, Walsall",
2011,Walsall,"Ablewell St,Walsall",
2011,Birmingham,"Albert Rd, Handsworth, Birmingham",
2011,NA,"Alcester Raod, Mosley",&euro;300
2012,NA,"Alcester Rd, Moseley.",
2011,NA,"Alexandra Rd, Halesowen",
2012,Coventry,"Allard Way, Coventry",
2012,Coventry,"Allesley Old Rd ,Coventry.",
2012,NA,"Alley  Way Off Arcadian Palace, Hurst St",
2012,NA,"All Saints Rd, Wolves.",
2012,NA,"All Saints Way, West Bromwich",
2011,NA,"All Service Club, Mosley",Some &ndash; ndash
2012,NA,"Alum Rock Rd, Alum Rock",
2011,NA,"Angels Nightclub, West Bromwich",
2011,NA,"Anita Ave, Tividale",
2011,Birmingham,"Arcadia Centre, Birmingham City Centre",
2012,NA,"Arcadian,",
2012,Birmingham,"Arcadian, Birmingham",
2012,Birmingham,"Arcadian, Birmingham",
2012,NA,"Arcadian, City Centre",
2012,NA,"Arcadian, City Centre",
2012,NA,"Arcadian, City Centre",
2011,NA,"Arcadian, City Centre.",
2011,NA,"Arcadian, Hurst St",
2011,Birmingham,"Arcadian Center, Birmingham",
2012,NA,"Arcadian Centre,City Centre",
2011,Birmingham,"Arcadian Centre, Birmingham",
2012,Birmingham,"Arcadian Centre, Birmingham",
2011,Birmingham,"Arcadian Centre, Birmingham City Centre",
2012,NA,"Arcadian Centre, City Centre",
2012,Birmingham,"Arcadian Centre, City Centre, Birmingham",
2011,NA,"Arcadian Centre, Ladywell Walk",
2011,NA,"Arcadian Centre, Ladywell Walk",
2011,Birmingham,"Arcadian Entertainment Centre, Birmingham",
2012,NA,"Arca Bar, City Centre",
2011,NA,"Arden Rd, Saltley",Some &ndash; ndash
2012,Coventry,"Arena Park , Coventry.",
2012,NA,"Arka Bar, Arcadian Bar",
2011,Birmingham,"Armada Pub, Slade Rd, Erdington, Birmingham",
2011,NA,"Armarda Pub, Gravelly Hill",
2011,NA,"Armarda Pub,  Gravelly Hill",
2011,NA,"Asda, Cape Hill",
2011,NA,"Asda, Chemsley Wood",&euro;300
2011,NA,"Asda, Darlaston",
2012,Wolverhampton,"Asda, Jack Hayward Way, Wolverhampton",
2012,NA,"Asda, Wolves. Molineaux",
2011,NA,"Ash Crescent, Chelmsley Wood",
2012,NA,"Aston Hotel, Witton Ln",
2012,NA,"Aston St, City Centre",
2011,NA,"Aston St, Tipton",
2011,NA,"Atlee Rd,Bentley, Willenhall",
2011,Solihuil,"Auckland Drive, Chelmsley Wood Solihull",
2011,NA,"Auckland Drive, C Wood",
2011,NA,"Averley Rd , Daimler Green",
2011,NA,"Away Fans Coach Park,  Bham Cfc",
2012,NA,"Aylesbury Crescent, Kingstanding, B'Ham",
2012,NA,"Bacchus Rd, Winson Green",
2011,NA,"Badger Drive, Park Village",
2011,Birmingham,"Baldmoor Lake Rd, Erdington, Birmingham.",
2011,NA,"Balsahll Heath Park, J/W Brighton Rd",alceSTer&nbsp;RD
2011,NA,"Bandals Surgery, Foleshill Rd",
2011,NA,"Bandywood Rd, Kingstanding",
2012,NA,"Banford Rd, Ward End",
2012,Birmingham,"Bar Risa, Brd St, Birmingham",
2011,NA,"Barr Common Rd, Stly",
2011,NA,"Bassano Rd, Black Heath",
2011,Birmingham,"Bath Row, Birmingham",
